L,Kint,K,m,q,delta,two_delta,S_real,S_imag,energy,mismatch
12,0,0.0,1,0.33767642647346674,1.115534094748993,2.231068189497986,-0.613331598736735,0.7898255187008335,-9.016604419814655,-0.149475837931754
10,0,0.0,1,0.7998830097943785,2.2837702582076935,4.567540516415387,-0.14434248225477095,-0.9895277903204797,-6.266142942708523,0.2126756951784028
12,0,0.0,2,0.8511133968447876,1.1765049261108604,2.353009852221721,-0.7048513201814686,0.7093550707779855,-8.474592797716321,-0.29710378019545125
12,0,0.0,3,0.8658520997119047,1.0880727089081583,2.1761454178163167,-0.5690491696944865,0.8223034977853466,-8.453652435191541,-1.2007188344371489
10,0,0.0,2,1.0903787245658014,0.8312916843505791,1.6625833687011582,-0.09165821400687137,0.9957905260671396,-5.82799326467797,-0.2830923119047002
12,0,0.0,4,1.181274484611694,2.337131053099215,4.67426210619843,-0.038117637614945944,-0.9992732587749237,-7.954766922084966,-1.655510036997427
10,0,0.0,3,1.1830608421237405,3.5094737501506765,7.018947500301353,0.7413194210552856,0.6711523790960263,-5.672443642228685,-1.280960956409241
12,0,0.0,5,1.4183362315214536,4.056353225230451,8.112706450460902,-0.2558480186399129,0.9667170172072233,-7.534200690052531,-1.9873139796116845
10,0,0.0,4,1.4512152975302524,5.310294126707911,10.620588253415821,-0.36625953371901904,-0.9305127371293349,-5.194744866089791,-1.80564223631763
10,0,0.0,5,1.6480427893825007,4.32615666744667,8.65231333489334,-0.7161927779953231,0.6979025037548883,-4.829842568921501,-1.8552057175482162
