L,Kint,K,m,q,delta,two_delta,S_real,S_imag,energy,mismatch
14,0,0.0,1,0.19205732160296193,1.7971914023690596,3.594382804738119,-0.8992299793802504,-0.4374762212781334,-45.98160722846907,-0.356720405183065
12,0,0.0,1,0.22035304023303634,1.8194744121915751,3.6389488243831503,-0.8788470125791872,-0.47710368734755976,-37.419232133889906,-0.4827833701738591
10,0,0.0,1,0.2592518452353494,1.8453334274130462,3.6906668548260924,-0.85300805982994,-0.5218977388963872,-28.841541570214904,-0.6862592473406899
8,0,0.0,1,0.3169679118227439,1.8737210062988174,3.747442012597635,-0.8220187178167753,-0.5694604705849782,-20.232185375833353,-1.0412444255492304
14,0,0.0,2,0.6263551429187928,1.8986993067480364,3.797398613496073,-0.7925567126575475,-0.6097982102478341,-45.233118188823916,-0.7752092650254916
12,0,0.0,2,0.7330382383671457,1.8849558769767123,3.7699117539534246,-0.8090166595454907,-0.5877857131454077,-36.413813987387115,-0.9848076431531556
10,0,0.0,2,0.8843850179921917,1.8612602172186277,3.7225204344372553,-0.8359538438716185,-0.5487997548434816,-27.426657212140466,-1.2673358555521261
14,0,0.0,3,1.0848405785865347,1.8308939106636366,3.661787821327273,-0.8677221881781542,-0.49704949868530796,-43.836615730750395,-0.9261430021768149
8,0,0.0,2,1.1141536766905933,1.826570600417213,3.653141200834426,-0.8719874959975012,-0.48952814712129455,-18.125807637610745,-1.6263034001861207
12,0,0.0,3,1.2695922990561026,1.8072241664327642,3.6144483328655284,-0.890271356649208,-0.45543046838126544,-34.64947970003796,-1.0770504574368687
10,0,0.0,3,1.528448724968444,1.78253433592716,3.56506867185432,-0.9116660440985488,-0.4109318970799212,-25.1857336388763,-1.2083735617945024
14,0,0.0,4,1.5406813436330609,1.7816012089277464,3.563202417855493,-0.9124313593273551,-0.4092297820491992,-42.21528867010091,-0.8744877370585726
12,0,0.0,4,1.8000792422462908,1.7658951608814277,3.5317903217628555,-0.9248338906390154,-0.38037123277858637,-32.78824343851821,-0.9013759509425476
8,0,0.0,3,1.915898750266923,1.7611829597016877,3.5223659194033754,-0.928377537843678,-0.3716384630623022,-15.343523714620162,-1.188584712646204
14,0,0.0,5,1.9928547405524006,1.7579800840821616,3.515960168164323,-0.9307390978141546,-0.36568392335470995,-40.71756080768247,-0.6896729680348983
10,0,0.0,4,2.1628885939287104,1.7519276447156216,3.503855289431243,-0.9350973603811321,-0.35439092342812484,-23.163420695258228,-0.7887953217302943
12,0,0.0,5,2.3273140806296264,1.744078784171208,3.488157568342416,-0.940545051526038,-0.33966896539113284,-31.292843315997846,-0.5568652021075273
14,0,0.0,6,2.444839495052931,1.735679456168242,3.471358912336484,-0.9461180599077813,-0.32382189042178094,-39.57779070773644,-0.41194884290977996
8,0,0.0,4,2.71738192387057,1.696842918876893,3.393685837753786,-0.9683924374338565,-0.24943152792081918,-13.5248487407869,-0.2674871274052606
10,0,0.0,5,2.806226356412565,1.6768314858861402,3.3536629717722803,-0.9775972406856817,-0.2104842868333442,-21.9615289286883,-0.16770617226577045
12,0,0.0,6,2.8647160165101813,1.6612598224776711,3.3225196449553422,-0.9836773112283429,-0.17994151098225727,-30.4447859984646,-0.11449937990649417
