L,Kint,K,m,q,delta,two_delta,S_real,S_imag,energy,mismatch
12,0,0.0,1,0.17187206846475273,2.110360242801277,4.220720485602554,-0.4720974001771691,-0.8815463939838662,-13.12098985256682,-0.4520289061963738
10,0,0.0,1,0.47474812754837514,0.7678520158479172,1.5357040316958344,0.03508509302924862,0.9993843285979268,-10.155637934843403,-0.31383907950914036
14,0,0.0,1,0.5500050957298258,-0.7084430165189874,-1.416886033037975,0.15330336551083978,-0.9881791730870723,-15.220898993916453,0.1875321719331815
12,0,0.0,2,0.703554530902625,-1.0797345318259568,-2.1594690636519136,-0.5552576562488653,-0.8316783844594117,-12.261469537133927,-1.0431543751660053
8,0,0.0,1,0.7275016761824904,0.23158594885983153,0.46317189771966305,0.89463983433937,0.44678805580859543,-6.993615357062794,-0.15855900070073226
14,0,0.0,2,0.8775040385070452,0.1406570376302696,0.2813140752605392,0.9606914565222352,0.2776183087715689,-14.3730452274141,-0.06216513944090041
10,0,0.0,2,0.8812116118421052,-1.264465405620733,-2.528930811241466,-0.8181202330137008,-0.5750472018309523,-9.153308278801273,-1.2624594172380794
14,0,0.0,3,0.9178120436507606,-0.14149899837573798,-0.28299799675147597,0.9602226072427668,-0.2792356433908523,-14.24741651685759,-1.4577521435025904
12,0,0.0,3,1.0337629985137216,0.08060731609725735,0.1612146321945147,0.9870330421566839,0.16051720683752851,-11.263631441829851,-1.810198805375106
12,0,0.0,4,1.0654275760802125,-0.10938014930168904,-0.2187602986033781,0.9761672389212636,-0.217019634265743,-11.156470882534489,-3.015328551400896
8,0,0.0,2,1.1074204474263967,-1.2880891361157936,-2.576178272231587,-0.8443666615836992,-0.5357657518039006,-5.807386809384859,-1.5592706668253973
14,0,0.0,4,1.1105906660849914,-1.4909493554153528,-2.9818987108307056,-0.987275997628309,-0.15901605109870917,-13.60630854520015,-2.1827734954807276
10,0,0.0,3,1.2352627204007047,-3.0347209484137307,-6.0694418968274615,0.9772437129747814,0.21211960176104216,-7.965155467254654,-1.9725278654699752
10,0,0.0,4,1.2626720612170592,-3.171767652495503,-6.343535304991006,0.998179491525583,-0.06031337080389737,-7.869894168125049,-3.0315767632432626
12,0,0.0,5,1.2688520120929105,-4.47151941896767,-8.94303883793534,-0.8861904910965225,-0.4633210695512392,-10.452267486739249,-3.1455587165728858
14,0,0.0,5,1.3270742750274032,-3.006334618012236,-6.012669236024472,0.9636331156310859,0.2672287755072911,-12.855807991396876,-2.388578679284434
14,0,0.0,6,1.365068284551364,-3.272292684679961,-6.544585369359922,0.966029102347944,-0.2584333055486955,-12.726087640367208,-2.9004381174167104
10,0,0.0,5,1.482543889567701,-4.271126794248712,-8.542253588497424,-0.635203484302641,-0.772344828123931,-7.127788888470827,-2.7672208038044035
8,0,0.0,3,1.518309320456336,-2.931644628235551,-5.863289256471102,0.9131313217892647,0.40766553590828625,-4.4118214011955175,-1.9417851043708607
12,0,0.0,6,1.5287144844686567,-2.8891015996323546,-5.778203199264709,0.8751831306100227,0.48379178155032754,-9.584267736891736,-2.619883067675655
8,0,0.0,4,1.573934527090678,-3.1541454547729186,-6.308290909545837,0.9996848709173614,-0.025102965142362477,-4.238498616857282,-2.4794304415364845
