L,Kint,K,m,q,delta,two_delta,S_real,S_imag,energy,mismatch
16,0,0.0,1,0.3839791746774473,0.06975925617021472,0.13951851234042945,0.990283069716654,0.13906632170500724,-19.689147548566186,-0.005845246493333178
14,0,0.0,1,0.47912684545278594,-0.2122952645797085,-0.424590529159417,0.9112074899111288,-0.4119477033918991,-16.214303336951684,0.02393008986189127
12,0,0.0,1,0.6159051213331058,-0.5538380744088416,-1.1076761488176832,0.4467417846692351,-0.8946629409059854,-12.684923897170528,0.08719792561218398
10,0,0.0,1,0.8058510276980966,-0.88766248490069,-1.77532496980138,-0.20310565006572182,-0.979156828557806,-9.0657286768018,0.2019885830188093
16,0,0.0,2,0.9202709827931601,-1.0789825551656946,-2.1579651103313893,-0.5540062232907257,-0.8325125251641242,-19.13048622862707,0.17415525902395768
14,0,0.0,2,1.0684593823671138,-1.1960303693902103,-2.3920607387804207,-0.7320078537132096,-0.6812961926373728,-15.51529856319944,0.24116496592449543
10,0,0.0,2,1.1374175825627721,-2.545495259224068,-5.090990518448136,0.3696214049878752,0.9291824454727872,-8.60260592929595,-0.18535005289201223
12,0,0.0,2,1.2125241787187955,-0.9919597651331866,-1.9839195302663732,-0.40147173416951315,-0.9158714138256111,-11.891229571702723,0.2507696466262157
16,0,0.0,3,1.2638241681695899,-0.6858153845873396,-1.3716307691746792,0.197851452636272,-0.9802320147239209,-18.61960211678937,0.1343043215146107
14,0,0.0,3,1.3141581088060357,0.22567119912712919,0.45134239825425837,0.8998623942367827,0.43617390045536314,-15.134747680218933,-0.051855920926957566
12,0,0.0,3,1.3856242849262381,1.1110322512119506,2.222064502423901,-0.6061954928860622,0.7953156759454852,-11.614841825981722,-0.3025299144755138
16,0,0.0,4,1.4297203074100917,1.1286081550784388,2.2572163101568776,-0.6337720354630314,0.7735198814930655,-18.352259821782543,-0.23079364659636603
10,0,0.0,3,1.5070391310651274,1.8895823054437422,3.7791646108874843,-0.8035434081597692,-0.5952461601749167,-8.012134254912207,-0.6081056083098524
14,0,0.0,4,1.595209358810643,1.39990510268467,2.79981020536934,-0.9421587447464382,0.33516697286250613,-14.67695891706099,-0.32305480736840764
12,0,0.0,4,1.6872763436577447,2.4427125524127042,4.8854251048254085,0.1721739227037127,-0.9850665664516363,-11.122487132484196,-0.6246817202624548
16,0,0.0,5,1.7223793738105935,1.9289282774642178,3.8578565549284356,-0.7542640025910862,-0.6565712561445818,-17.874939227252547,-0.37700374305394213
10,0,0.0,4,1.7316513534582656,0.7665211934780523,1.5330423869561045,0.03774497165218026,0.9992874046614297,-7.646285471608616,-1.0590836569749413
14,0,0.0,5,1.7783197509219884,0.11813235790525312,0.23626471581050623,0.9722190834348059,0.23407275323109686,-14.380734688464493,-0.6798745758131872
16,0,0.0,6,1.863722585898898,0.798182580757782,1.596365161515564,-0.02556604880888043,0.9996731351538372,-17.650717649088556,-0.6822041501428817
12,0,0.0,5,1.9242278531641535,1.0210034953742522,2.0420069907485043,-0.4539653428047819,0.891019341839523,-10.748258382320316,-0.8506308960323548
14,0,0.0,6,2.0188541850714525,1.5759839724487978,3.1519679448975957,-0.9999461771479626,-0.010375105164544889,-14.011134152997187,-0.7668047084421996
10,0,0.0,5,2.130366131996669,1.914539954375826,3.829079908751652,-0.7728430340542234,-0.634597230307431,-7.0429918377045055,-0.772600591432326
12,0,0.0,6,2.170490553404516,2.6850199475218695,5.370039895043739,0.6112594028591772,-0.7914303143146856,-10.392813281120464,-0.7178449064796126
