L,Kint,K,m,q,delta,two_delta,S_real,S_imag,energy,mismatch
14,0,0.0,1,0.2243457318040037,1.5711725309617672,3.1423450619235345,-0.999999716940863,-0.0007524082627492084,-44.74549175107679,-0.3831475482626967
12,0,0.0,1,0.26188095385044763,1.5703069304871073,3.1406138609742147,-0.9999995209825461,0.0009787924592922963,-36.572603335068194,-0.5130064413819486
10,0,0.0,1,0.3143824775896932,1.5696802656413271,3.1393605312826542,-0.9999975088160373,0.0022321204535962562,-28.36922823072256,-0.7193698082379019
8,0,0.0,1,0.3930561386093376,1.5693680991524428,3.1387361983048856,-0.9999959203343766,0.002856451400445778,-20.10266543184634,-1.071956088891124
14,0,0.0,2,0.6735119161228114,1.5686018943199063,3.1372037886398125,-0.999990368947685,0.004388850860175683,-43.76643358828187,-0.751347500913802
12,0,0.0,2,0.7855608446284488,1.5698202394088936,3.139640478817787,-0.9999980945074349,0.0019521735320543927,-35.28114188821012,-0.951046992639327
10,0,0.0,2,0.942415391269344,1.5711083508328656,3.142216701665731,-0.9999998052820058,-0.0006240480354334911,-26.60024028657932,-1.2198652408702486
14,0,0.0,3,1.1217726437667204,1.5723694544023363,3.1447389088046727,-0.9999950505431443,-0.003146250024126229,-42.165795148117574,-0.8931070204103513
8,0,0.0,2,1.1778563613636548,1.571759861724967,3.143519723449934,-0.9999981432014516,-0.0019270686674139077,-17.568259193583117,-1.558520774110459
12,0,0.0,3,1.3087865406461354,1.5720587168925668,3.1441174337851336,-0.9999968127441757,-0.0025247775129663723,-33.297519295256656,-1.0368010788027426
10,0,0.0,3,1.5708386517864281,1.5705847018372392,3.1411694036744784,-0.9999999104297559,0.00042324990267798363,-24.13505869979,-1.1576296198205114
14,0,0.0,4,1.5708386517864281,1.5705000518541752,3.1410001037083504,-0.9999998244423242,0.0005925498467673119,-40.38605021952698,-0.8411863130101089
12,0,0.0,4,1.8328371588543533,1.5693476612330528,3.1386953224661056,-0.999995802739116,0.0028973270700682983,-31.285039234072507,-0.862022070834982
8,0,0.0,3,1.9637176096160696,1.569907522305101,3.139815044610202,-0.9999984200535739,0.0017776080434152668,-14.58598504427411,-1.124262158912778
14,0,0.0,5,2.0197808792598257,1.5694971131301862,3.1389942262603725,-0.9999966240896063,0.0025984244054008043,-38.78048613212943,-0.6587538747066333
14,0,0.0,6,2.157695905613382,0.6040919286552917,1.2081838573105834,0.354718030251652,0.9349733252956408,-38.36144491900793,-1.1640791257842658
10,0,0.0,4,2.1990935154252425,1.5709030372329593,3.1418060744659186,-0.999999977225765,-0.00021342087450523697,-21.993197950859805,-0.7457342949502497
12,0,0.0,5,2.2209218313493038,2.382432279853143,4.764864559706286,0.052451499088900885,-0.9986234727079707,-30.058538885976215,-0.8728600563423967
10,0,0.0,5,2.330670098852707,0.9130201200956378,1.8260402401912756,-0.2524814271695285,0.9676017408698881,-21.648811761785225,-1.0208741353012947
12,0,0.0,6,2.355947692488412,1.5722771130184938,3.1445542260369876,-0.9999956145475254,-0.002961568117914733,-29.71328999903468,-0.9598569189045314
8,0,0.0,4,2.562387959198131,2.316818777566649,4.633637555133298,-0.07867005056163041,-0.9969007087692487,-13.030137195823052,-0.5276839126741599
