L,Kint,K,m,q,delta,two_delta,S_real,S_imag,energy,mismatch
9,0,0.0,1,0.2876379951924802,1.8472216752236323,3.6944433504472647,-0.8510310372304294,-0.5251153908147232,2.1643335105487287,-0.7714887169755835
8,0,0.0,1,0.31712835070827317,1.8730792507567005,3.746158501513401,-0.8227489493451069,-0.5684049316741743,2.199460688755364,-0.9721121864989013
7,0,0.0,1,0.353563521684443,1.9041203276942427,3.8082406553884853,-0.7858988024307885,-0.6183551344800595,2.2474206909305656,-1.2586201016346137
6,0,0.0,1,0.3998539989769251,1.9420306566590178,3.8840613133180355,-0.7368017227913978,-0.6761088827190693,2.315528641351383,-1.684471358648632
9,0,0.0,2,0.8995696475690773,2.2351218931187384,4.470243786237477,-0.23978578643094978,-0.9708258219813124,3.5122119306482156,-1.7931953586837972
8,0,0.0,2,1.0029817678894668,2.271258235621719,4.542516471243438,-0.16905669464409587,-0.9856063281026624,3.8488366538895686,-2.151163346110605
7,0,0.0,2,1.1359314231533533,2.30742532614285,4.6148506522857,-0.0973837428390308,-0.9952469073705588,4.314848469275269,-2.5752352665500293
6,0,0.0,2,1.3145296133152955,2.3395964672337,4.6791929344674,-0.03318994937079368,-0.9994490618639672,4.98611616769963,-3.0138838323004515
9,0,0.0,3,1.5707963267952623,2.356194490190699,4.712388980381398,-3.291772920428536e-12,-1.0,6.000000000000088,-1.9999999999997469
8,0,0.0,3,1.7696331650710722,2.3462453004850907,4.6924906009701814,-0.019897066328195444,-0.9998020337804536,6.790116882910912,-2.0383102418355143
7,0,0.0,3,2.0355820386010333,2.300240825665763,4.600481651331526,-0.11167390134951434,-0.9937449067831134,7.79292502297033,-1.8109504486395087
9,0,0.0,4,2.3011857203279136,2.2110348728835607,4.422069745767121,-0.2862581151459748,-0.9581525408373521,8.668639002127259,-1.090131481016373
6,0,0.0,3,2.424121731295756,2.1524127668821116,4.304825533764223,-0.39637353312539775,-0.9180893323842126,9.013883832300417,-0.9861161676999135
8,0,0.0,4,2.636165375613076,2.021709111906869,4.043418223813738,-0.6201789149615914,-0.784460396347109,9.499870697117489,-0.5001293028829821
